label,dwell_seconds,velocity_magnitude,confidence,is_near_door,time_of_day_hour
normal,11.3,1.15,0.96,0.0,19.0
normal,0.5,0.95,0.99,0.0,17.0
anomaly,4.82,0.89,0.69,0.0,4.0
normal,0.02,0.56,0.82,0.0,7.0
normal,0.34,1.97,0.78,0.0,19.0
normal,10.93,0.65,0.89,0.0,12.0
normal,13.83,1.2,0.79,0.0,11.0
normal,3.33,1.23,0.88,0.0,10.0
normal,1.14,1.31,0.91,0.0,15.0
normal,1.73,1.23,0.75,0.0,20.0
normal,1.93,1.42,0.9,0.0,14.0
normal,6.73,0.79,0.73,0.0,16.0
normal,0.72,1.17,0.8,0.0,10.0
normal,5.62,0.99,0.84,0.0,11.0
normal,3.03,1.43,0.96,0.0,7.0
normal,1.7,1.4,0.96,0.0,21.0
normal,3.4,0.89,0.87,0.0,22.0
normal,1.36,1.46,0.72,0.0,10.0
normal,7.74,1.29,0.92,0.0,10.0
anomaly,95.2,0.04,0.65,0.0,16.0
anomaly,220.28,0.02,0.95,1.0,4.0
normal,3.66,1.18,0.79,0.0,16.0
normal,1.08,0.91,0.88,0.0,9.0
normal,4.32,1.35,0.89,0.0,7.0
normal,0.18,1.25,0.91,0.0,21.0
normal,1.72,1.96,0.99,0.0,19.0
normal,0.2,0.97,0.98,0.0,19.0
normal,5.67,0.98,1.0,0.0,22.0
normal,5.66,1.21,0.91,0.0,22.0
normal,0.94,1.85,0.97,0.0,16.0
normal,1.42,1.49,0.96,0.0,13.0
normal,15.76,0.98,0.7,0.0,8.0
anomaly,73.21,0.27,0.81,0.0,12.0
normal,4.81,1.17,0.94,0.0,22.0
normal,6.03,1.27,0.74,0.0,15.0
normal,1.05,1.09,0.77,0.0,20.0
normal,10.57,1.15,0.75,0.0,7.0
normal,3.66,0.58,0.79,0.0,12.0
normal,1.1,0.48,0.79,0.0,17.0
normal,3.0,0.91,0.72,0.0,13.0
normal,8.16,1.39,0.83,0.0,8.0
normal,0.75,0.91,0.81,0.0,14.0
normal,11.6,1.09,0.79,0.0,19.0
normal,3.05,0.89,0.96,0.0,17.0
normal,1.47,2.12,0.84,0.0,7.0
normal,10.17,1.15,0.92,0.0,15.0
normal,1.15,1.56,0.87,0.0,13.0
normal,1.76,1.29,0.83,0.0,17.0
normal,10.67,0.8,0.75,0.0,21.0
normal,3.29,1.12,0.83,0.0,6.0
normal,6.34,1.34,0.94,0.0,17.0
normal,0.15,1.42,0.73,0.0,22.0
normal,0.64,1.88,0.99,0.0,15.0
normal,0.09,1.26,0.92,0.0,20.0
normal,1.19,1.06,0.78,0.0,14.0
normal,20.0,0.75,0.82,0.0,16.0
normal,1.19,0.88,0.95,0.0,10.0
normal,10.13,1.1,0.81,0.0,20.0
normal,1.73,1.31,0.83,0.0,18.0
normal,3.61,1.25,0.77,0.0,10.0
anomaly,5.57,1.08,0.79,0.0,1.0
normal,13.48,1.51,0.96,0.0,17.0
normal,3.55,1.34,0.87,0.0,16.0
normal,6.09,1.02,0.74,0.0,16.0
anomaly,243.3,0.09,0.84,1.0,19.0
normal,11.82,1.06,0.84,0.0,16.0
normal,2.08,1.34,0.97,0.0,10.0
anomaly,1.13,1.18,0.62,0.0,0.0
normal,2.42,2.01,0.76,0.0,16.0
normal,2.04,1.39,0.72,0.0,20.0
normal,1.47,0.98,0.8,0.0,10.0
normal,1.34,1.29,0.77,0.0,17.0
normal,1.08,0.7,0.9,0.0,22.0
normal,7.31,1.47,0.85,0.0,6.0
normal,11.27,0.59,0.95,0.0,19.0
normal,0.41,1.23,0.83,0.0,14.0
normal,8.33,1.19,0.72,0.0,10.0
